"","Subject","groom.min.hr","Group","Status","Group.Size"
"118","QUA",2.22608695666667,"AMG7","Bachelor",9
"119","QUA",2.22608695666667,"V","Leader Male",9
"120","RAN",5.70666666666667,"AMG8","Bachelor",3
"121","REL",0.901449275333333,"AMG5","Bachelor",6
"122","RHI",3.61904761833333,"AMG2","Bachelor",10
"123","SAU",3.09090909166667,"AMG5","Bachelor",6
"124","SHO",3.10980392166667,"AMG4","Bachelor",8
"125","SMA",2.44848484833333,"AMG4","Bachelor",8
"126","TEQ",1.03529411766667,"AMG2","Bachelor",10
"127","TEQ",1.03529411766667,"C1","Leader Male",10
"128","VOD",2.79104477666667,"AMG2","Bachelor",10
"129","WHI",3.16969697,"AMG2","Bachelor",10
"130","WOL",0.583673469333333,"AMG7","Bachelor",9
"131","ZET",0.592156862666667,"AMG5","Bachelor",6
