Date,Observer,Time,Subject,Unit,Sex,Status,State,Social,Recipient
7/22/10,DAVID,9:11:19 AM,DIK,K,M,BACHELOR,START,,
7/22/10,DAVID,9:11:22 AM,DIK,K,M,BACHELOR,R,,
7/22/10,DAVID,9:11:31 AM,DIK,K,M,BACHELOR,M,,
7/22/10,DAVID,9:12:13 AM,DIK,K,M,BACHELOR,,VG2VG3VM1,JEF
7/22/10,DAVID,9:12:16 AM,DIK,K,M,BACHELOR,F,,
7/22/10,DAVID,9:12:58 AM,DIK,K,M,BACHELOR,,VG2VG3VM1,JEF
7/22/10,DAVID,9:13:33 AM,DIK,K,M,BACHELOR,,L@VMM,
7/22/10,DAVID,9:13:38 AM,DIK,K,M,BACHELOR,M,,
7/22/10,DAVID,9:13:51 AM,DIK,K,M,BACHELOR,F,,
7/22/10,DAVID,9:13:55 AM,DIK,K,M,BACHELOR,M,,
7/22/10,DAVID,9:14:24 AM,DIK,K,M,BACHELOR,,VI1VG2A1,JEF
7/22/10,DAVID,9:15:03 AM,DIK,K,M,BACHELOR,F,,
7/22/10,DAVID,9:15:21 AM,DIK,K,M,BACHELOR,,L2,JEF
7/22/10,DAVID,9:15:26 AM,DIK,K,M,BACHELOR,M,,
7/22/10,DAVID,9:15:40 AM,DIK,K,M,BACHELOR,F,,
7/22/10,DAVID,9:16:16 AM,DIK,K,M,BACHELOR,,VG2VG3VM1,JEF
7/22/10,DAVID,9:16:59 AM,DIK,K,M,BACHELOR,NB,,
7/22/10,DAVID,9:18:19 AM,DIK,K,M,BACHELOR,,VI1VM1VG2,JEF
7/22/10,DAVID,9:19:06 AM,DIK,K,M,BACHELOR,,L@U,
7/22/10,DAVID,9:20:09 AM,DIK,K,M,BACHELOR,,L@VG,SAM
7/22/10,DAVID,9:20:28 AM,DIK,K,M,BACHELOR,,VG1VG2,JEF
7/22/10,DAVID,9:21:09 AM,DIK,K,M,BACHELOR,,L@U,
7/22/10,DAVID,9:21:54 AM,DIK,K,M,BACHELOR,NB,,
7/22/10,DAVID,9:22:51 AM,DIK,K,M,BACHELOR,,L@VSJ,
7/22/10,DAVID,9:22:55 AM,DIK,K,M,BACHELOR,M,,
7/22/10,DAVID,9:23:07 AM,DIK,K,M,BACHELOR,,A1,JEF
7/22/10,DAVID,9:23:10 AM,DIK,K,M,BACHELOR,F,,
7/22/10,DAVID,9:23:55 AM,DIK,K,M,BACHELOR,,L@U,
7/22/10,DAVID,9:24:18 AM,DIK,K,M,BACHELOR,,VT1,OUM
7/22/10,DAVID,9:24:38 AM,DIK,K,M,BACHELOR,,VT1,OUM
7/22/10,DAVID,9:24:55 AM,DIK,K,M,BACHELOR,,VG2VG1,JEF
7/22/10,DAVID,9:25:24 AM,DIK,K,M,BACHELOR,,L@VSJ,
7/22/10,DAVID,9:26:15 AM,DIK,K,M,BACHELOR,,VM1,
7/22/10,DAVID,9:26:25 AM,DIK,K,M,BACHELOR,,L@U,
7/22/10,DAVID,9:26:43 AM,DIK,K,M,BACHELOR,NB,,
7/22/10,DAVID,9:26:46 AM,DIK,K,M,BACHELOR,END,,
7/22/10,DAVID,9:27:15 AM,JEF,K,M,BACHELOR,START,,
7/22/10,DAVID,9:27:18 AM,JEF,K,M,BACHELOR,F,,
7/22/10,DAVID,9:28:09 AM,JEF,K,M,BACHELOR,,L@UN,
7/22/10,DAVID,9:28:36 AM,JEF,K,M,BACHELOR,,D2,DIK
7/22/10,DAVID,9:28:41 AM,JEF,K,M,BACHELOR,,L2,DIK
7/22/10,DAVID,9:28:44 AM,JEF,K,M,BACHELOR,M,,
7/22/10,DAVID,9:28:58 AM,JEF,K,M,BACHELOR,R,,
7/22/10,DAVID,9:29:21 AM,JEF,K,M,BACHELOR,F,,
7/22/10,DAVID,9:29:44 AM,JEF,K,M,BACHELOR,,L@UN,
7/22/10,DAVID,9:30:34 AM,JEF,K,M,BACHELOR,,L@UN,
7/22/10,DAVID,9:30:43 AM,JEF,K,M,BACHELOR,,U1,JEF
7/22/10,DAVID,9:31:47 AM,JEF,K,M,BACHELOR,M,,
7/22/10,DAVID,9:32:14 AM,JEF,K,M,BACHELOR,F,,
7/22/10,DAVID,9:32:41 AM,JEF,K,M,BACHELOR,NB,,
7/22/10,DAVID,9:32:53 AM,JEF,K,M,BACHELOR,,VT1,OUF
7/22/10,DAVID,9:33:32 AM,JEF,K,M,BACHELOR,,N,
7/22/10,DAVID,9:36:05 AM,JEF,K,M,BACHELOR,,L@N3MM,
7/22/10,DAVID,9:36:43 AM,JEF,K,M,BACHELOR,,VH1,
7/22/10,DAVID,9:37:23 AM,JEF,K,M,BACHELOR,,L@UN,
7/22/10,DAVID,9:37:36 AM,JEF,K,M,BACHELOR,,VG2VG3,DIK
7/22/10,DAVID,9:37:54 AM,JEF,K,M,BACHELOR,NB,,
7/22/10,DAVID,9:40:57 AM,JEF,K,M,BACHELOR,,L@N3MM,
7/22/10,DAVID,9:41:13 AM,JEF,K,M,BACHELOR,,UVG1VG2,DIK
7/22/10,DAVID,9:41:15 AM,JEF,K,M,BACHELOR,M,,
7/22/10,DAVID,9:41:31 AM,JEF,K,M,BACHELOR,S,,
7/22/10,DAVID,9:41:36 AM,JEF,K,M,BACHELOR,,G1,DIK
7/22/10,DAVID,9:41:54 AM,JEF,K,M,BACHELOR,,GZ,DIK
7/22/10,DAVID,9:42:04 AM,JEF,K,M,BACHELOR,,VG1VG3,DIK
7/22/10,DAVID,9:42:09 AM,JEF,K,M,BACHELOR,,G1,DIK
7/22/10,DAVID,9:42:37 AM,JEF,K,M,BACHELOR,NB,,
7/22/10,DAVID,9:42:40 AM,JEF,K,M,BACHELOR,END,,
7/22/10,DAVID,10:01:13 AM,DIK,K,M,BACHELOR,START,,
7/22/10,DAVID,10:01:15 AM,DIK,K,M,BACHELOR,M,,
7/22/10,DAVID,10:01:38 AM,DIK,K,M,BACHELOR,M,,
7/22/10,DAVID,10:01:38 AM,DIK,K,M,BACHELOR,F,,
7/22/10,DAVID,10:01:48 AM,DIK,K,M,BACHELOR,,A2,JEF
7/22/10,DAVID,10:01:55 AM,DIK,K,M,BACHELOR,M,,
7/22/10,DAVID,10:02:19 AM,DIK,K,M,BACHELOR,F,,
7/22/10,DAVID,10:02:48 AM,DIK,K,M,BACHELOR,,U1,
7/22/10,DAVID,10:02:51 AM,DIK,K,M,BACHELOR,M,,
7/22/10,DAVID,10:03:12 AM,DIK,K,M,BACHELOR,,VG1VG3,JEF
7/22/10,DAVID,10:03:15 AM,DIK,K,M,BACHELOR,F,,
7/22/10,DAVID,10:03:22 AM,DIK,K,M,BACHELOR,M,,
7/22/10,DAVID,10:03:41 AM,DIK,K,M,BACHELOR,,VG2VG1,SAM
7/22/10,DAVID,10:03:57 AM,DIK,K,M,BACHELOR,F,,
7/22/10,DAVID,10:04:26 AM,DIK,K,M,BACHELOR,,VN1,
7/22/10,DAVID,10:05:05 AM,DIK,K,M,BACHELOR,M,,
7/22/10,DAVID,10:05:19 AM,DIK,K,M,BACHELOR,F,,
7/22/10,DAVID,10:05:48 AM,DIK,K,M,BACHELOR,,L@UN,
7/22/10,DAVID,10:05:58 AM,DIK,K,M,BACHELOR,,VM1,
7/22/10,DAVID,10:06:19 AM,DIK,K,M,BACHELOR,,L@UN,
7/22/10,DAVID,10:06:45 AM,DIK,K,M,BACHELOR,NB,,
7/22/10,DAVID,10:07:23 AM,DIK,K,M,BACHELOR,,VM1VG2,JEF
7/22/10,DAVID,10:07:57 AM,DIK,K,M,BACHELOR,,VG1VG3,JEF
7/22/10,DAVID,10:08:08 AM,DIK,K,M,BACHELOR,M,,
7/22/10,DAVID,10:08:20 AM,DIK,K,M,BACHELOR,F,,
7/22/10,DAVID,10:08:54 AM,DIK,K,M,BACHELOR,,VM1VG2,JEF
7/22/10,DAVID,10:09:27 AM,DIK,K,M,BACHELOR,,VI1L@UN,
7/22/10,DAVID,10:09:52 AM,DIK,K,M,BACHELOR,,VG2VM1,JEF
7/22/10,DAVID,10:11:16 AM,DIK,K,M,BACHELOR,,G1,DIK
7/22/10,DAVID,10:11:39 AM,DIK,K,M,BACHELOR,NB,,
7/22/10,DAVID,10:11:49 AM,DIK,K,M,BACHELOR,,GZ,DIK
7/22/10,DAVID,10:13:28 AM,DIK,K,M,BACHELOR,,A2,JEF
7/22/10,DAVID,10:13:42 AM,DIK,K,M,BACHELOR,M,,
7/22/10,DAVID,10:13:47 AM,DIK,K,M,BACHELOR,,L2,JEF
7/22/10,DAVID,10:14:48 AM,DIK,K,M,BACHELOR,S,,
7/22/10,DAVID,10:15:18 AM,DIK,K,M,BACHELOR,,VG2VG3,JEF
7/22/10,DAVID,10:15:29 AM,DIK,K,M,BACHELOR,,G2,JEF
7/22/10,DAVID,10:16:09 AM,DIK,K,M,BACHELOR,,GZ,JEF
7/22/10,DAVID,10:16:15 AM,DIK,K,M,BACHELOR,,VG1,JEF
7/22/10,DAVID,10:16:43 AM,DIK,K,M,BACHELOR,NB,,
7/22/10,DAVID,10:16:44 AM,DIK,K,M,BACHELOR,END,,
7/22/10,DAVID,10:17:03 AM,JEF,K,M,BACHELOR,START,,
7/22/10,DAVID,10:17:05 AM,JEF,K,M,BACHELOR,S,,
7/22/10,DAVID,10:17:12 AM,JEF,K,M,BACHELOR,,G1,DIK
7/22/10,DAVID,10:17:34 AM,JEF,K,M,BACHELOR,,G3,DIK
7/22/10,DAVID,10:18:45 AM,JEF,K,M,BACHELOR,,G1,DIK
7/22/10,DAVID,10:18:52 AM,JEF,K,M,BACHELOR,,G3,DIK
7/22/10,DAVID,10:19:11 AM,JEF,K,M,BACHELOR,,G1,DIK
7/22/10,DAVID,10:19:43 AM,JEF,K,M,BACHELOR,,GZP1,DIK
7/22/10,DAVID,10:19:46 AM,JEF,K,M,BACHELOR,M,,
7/22/10,DAVID,10:19:57 AM,JEF,K,M,BACHELOR,,L1,DIK
7/22/10,DAVID,10:20:21 AM,JEF,K,M,BACHELOR,,VG1VI2,DIK
7/22/10,DAVID,10:20:34 AM,JEF,K,M,BACHELOR,,A1,DIK
7/22/10,DAVID,10:20:48 AM,JEF,K,M,BACHELOR,,VG2VI2VG1,DIK
7/22/10,DAVID,10:21:08 AM,JEF,K,M,BACHELOR,F,,
7/22/10,DAVID,10:21:49 AM,JEF,K,M,BACHELOR,,VM2,DIK
7/22/10,DAVID,10:21:56 AM,JEF,K,M,BACHELOR,,L2,DIK
7/22/10,DAVID,10:21:57 AM,JEF,K,M,BACHELOR,M,,
7/22/10,DAVID,10:22:23 AM,JEF,K,M,BACHELOR,NB,,
7/22/10,DAVID,10:22:25 AM,JEF,K,M,BACHELOR,F,,
7/22/10,DAVID,10:22:38 AM,JEF,K,M,BACHELOR,,VG1VG2VI2,DIK
7/22/10,DAVID,10:23:06 AM,JEF,K,M,BACHELOR,,VG2VI1,SAM
7/22/10,DAVID,10:23:56 AM,JEF,K,M,BACHELOR,VGSEQ,JEF,JEF
7/22/10,DAVID,10:24:27 AM,JEF,K,M,BACHELOR,,VG2VG3VM1,DIK
7/22/10,DAVID,10:25:40 AM,JEF,K,M,BACHELOR,,A1VG2,DIK
7/22/10,DAVID,10:25:52 AM,JEF,K,M,BACHELOR,M,,
7/22/10,DAVID,10:25:58 AM,JEF,K,M,BACHELOR,,L2,DIK
7/22/10,DAVID,10:26:00 AM,JEF,K,M,BACHELOR,F,,
7/22/10,DAVID,10:26:43 AM,JEF,K,M,BACHELOR,VGSEQ,DIK,JEF
