"","id1","id2","unit","total_focals","all_groom","all_approach","all_leave","all_threat","all_nasty","all_fear","all_kiss","all_wish","all_mount","all_vg","all_vt","all_vf","focal_hrs"
"1","ASH","BUS","AMG9",60,0.533333333333333,0,0,0,0,0,0,0,0.266666666666667,0.533333333333333,0,0,15
"2","ASH","ELA","AMG9",83,39.1325301204819,0.91566265060241,1.10843373493976,0,0.192771084337349,0,1.68674698795181,1.87951807228916,8.33734939759036,35.566265060241,0,0,20.75
"3","ASH","LES","AMG9",52,6.53846153846154,0,0,0,0,0,0.461538461538462,0.307692307692308,1.76923076923077,5.92307692307692,0,0,13
"4","ASH","NYA","AMG9",88,11.4545454545455,0.227272727272727,0.272727272727273,0,0,0,0.681818181818182,0.318181818181818,3.31818181818182,10.4545454545455,0,0,22
"5","ASL","DYE","AMG6",134,7.58208955223881,1.3134328358209,1.49253731343284,0.0597014925373134,0.0597014925373134,0.119402985074627,0.298507462686567,0.507462686567164,0.776119402985075,5.01492537313433,0.0298507462686567,0.0597014925373134,33.5
"6","ASL","EAG","AMG6",91,6.32967032967033,0.791208791208791,0.571428571428571,0,0.0879120879120879,0,0.21978021978022,0.395604395604396,0.615384615384615,4.57142857142857,0,0,22.75
"7","ASL","EDG","AMG6",54,1.40740740740741,0.222222222222222,0.222222222222222,0.222222222222222,0,0.148148148148148,0.222222222222222,0.296296296296296,0.444444444444444,0.888888888888889,0.222222222222222,0.0740740740740741,13.5
"8","ASL","EGG","AMG6",181,2.14364640883978,0.198895027624309,0.176795580110497,0.0220994475138122,0,0.0441988950276243,0.0662983425414365,0.0662983425414365,0.110497237569061,1.83425414364641,0,0.0220994475138122,45.25
"9","ASL","ERG","AMG6",115,4.03478260869565,0.48695652173913,0.417391304347826,0,0,0,0.0695652173913043,0.173913043478261,0.660869565217391,3.65217391304348,0,0,28.75
"10","ASL","MAY","AMG6",161,15.9503105590062,0.770186335403727,0.819875776397516,0.0496894409937888,0,0.0248447204968944,0.198757763975155,0.248447204968944,2.85714285714286,13.9378881987578,0.0496894409937888,0,40.25
"11","ATE","DGU","AMG2",57,0.982456140350877,0.140350877192982,0,0.140350877192982,0,0.0701754385964912,0,0.0701754385964912,0.140350877192982,0.491228070175439,0.0701754385964912,0,14.25
"12","ATE","OUP","AMG2",59,1.15254237288136,0.135593220338983,0.203389830508475,0.271186440677966,0.135593220338983,0.271186440677966,0.203389830508475,0,0.271186440677966,1.15254237288136,0.271186440677966,0,14.75
"13","ATE","OUZ","AMG2",57,13.0526315789474,1.40350877192982,1.40350877192982,0.0701754385964912,0,0.350877192982456,0.491228070175439,0.631578947368421,2.10526315789474,10.1052631578947,0,0.0701754385964912,14.25
"14","ATE","TEQ","AMG2",41,0.48780487804878,0,0,0.0975609756097561,0.0975609756097561,0.0975609756097561,0,0,0.195121951219512,0.48780487804878,0.0975609756097561,0,10.25
"15","ATE","VOD","AMG2",52,13.7692307692308,1.46153846153846,1.84615384615385,0.461538461538462,0,0.230769230769231,0.0769230769230769,0.461538461538462,1.84615384615385,11.6153846153846,0.461538461538462,0.0769230769230769,13
"16","ATE","WHI","AMG2",38,0.421052631578947,0.105263157894737,0.105263157894737,0,0,0,0,0,0,0.421052631578947,0,0,9.5
"17","ATT","GHE","AMG3",32,2.5,0.375,0.25,0,0,0,0,0,1.625,2.5,0,0,8
"18","ATT","KHA","AMG3",30,4.13333333333333,0.933333333333333,0.933333333333333,0,0,0.133333333333333,0,0.266666666666667,1.6,3.73333333333333,0,0,7.5
